member,expression,augmentation,timestamp,height,width,channels,hist_R_0,hist_R_1,hist_R_2,hist_R_3,hist_R_4,hist_R_5,hist_R_6,hist_R_7,hist_G_0,hist_G_1,hist_G_2,hist_G_3,hist_G_4,hist_G_5,hist_G_6,hist_G_7,hist_B_0,hist_B_1,hist_B_2,hist_B_3,hist_B_4,hist_B_5,hist_B_6,hist_B_7,hist_gray_0,hist_gray_1,hist_gray_2,hist_gray_3,hist_gray_4,hist_gray_5,hist_gray_6,hist_gray_7,mean_intensity,std_intensity,min_intensity,max_intensity,median_intensity,edge_density
Erneste,Neutral,Original,2025-11-13 16:14:36,3392,2544,3,0.0074329767,0.041293863,0.053771198,0.055799764,0.078063,0.19655815,0.56705475,2.6305885e-05,0.0128098065,0.06115284,0.053563878,0.05588019,0.034855876,0.18962845,0.5920891,1.9816327e-05,0.015798943,0.061815932,0.06604724,0.054541834,0.019037696,0.31506893,0.46762127,6.8140354e-05,0.010438337,0.055224046,0.055401467,0.059201684,0.039743558,0.20915172,0.57081383,2.5378804e-05,172.55337730471996,48.36680577877341,0,255,195.0,0.0012529481132075471
Erneste,Neutral,Rotation_15deg,2025-11-13 16:14:36,3392,2544,3,0.11354489,0.041573033,0.05244246,0.053386807,0.06388888,0.1520954,0.52304375,2.479938e-05,0.11869922,0.061596677,0.05347963,0.05428526,0.03317485,0.13712747,0.5416186,1.8309822e-05,0.12191653,0.062069718,0.06550629,0.052166075,0.018174354,0.25479046,0.42531353,6.3041414e-05,0.11634664,0.055644248,0.055167496,0.056784786,0.038196493,0.15126394,0.5265737,2.2713451e-05,152.62638644757922,71.05570467100843,0,253,194.0,0.0015885509374629167
Erneste,Neutral,Horizontal_Flip,2025-11-13 16:14:37,3392,2544,3,0.0074329767,0.041293863,0.053771198,0.055799764,0.078063,0.19655815,0.56705475,2.6305885e-05,0.0128098065,0.06115284,0.053563878,0.05588019,0.034855876,0.18962845,0.5920891,1.9816327e-05,0.015798943,0.061815932,0.06604724,0.054541834,0.019037696,0.31506893,0.46762127,6.8140354e-05,0.010438337,0.055224046,0.055401467,0.059201684,0.039743558,0.20915172,0.57081383,2.5378804e-05,172.55337730471996,48.366805778773404,0,255,195.0,0.0012465744407855702
Erneste,Neutral,Grayscale,2025-11-13 16:14:37,3392,2544,3,0.010438337,0.055224046,0.055401467,0.059201684,0.039743558,0.20915172,0.57081383,2.5378804e-05,0.010438337,0.055224046,0.055401467,0.059201684,0.039743558,0.20915172,0.57081383,2.5378804e-05,0.010438337,0.055224046,0.055401467,0.059201684,0.039743558,0.20915172,0.57081383,2.5378804e-05,0.010438337,0.055224046,0.055401467,0.059201684,0.039743558,0.20915172,0.57081383,2.5378804e-05,172.55337730471996,48.36680577877341,0,255,195.0,0.0012529481132075471
Erneste,Neutral,Brightness_+30,2025-11-13 16:14:37,3392,2544,3,0.00010035637,0.008598896,0.043795127,0.05379959,0.05562304,0.07843499,0.21948911,0.54015887,7.949708e-05,0.01541942,0.06169622,0.0533831,0.057630748,0.030706732,0.21608697,0.5649973,5.944898e-05,0.019091466,0.06170167,0.067523725,0.05142302,0.019814357,0.37928045,0.40110588,6.141903e-05,0.012567376,0.056709,0.05488126,0.06162055,0.035216395,0.23620981,0.5427342,202.55311598415065,48.36649388139243,30,255,225.0,0.0012508621840512638
Erneste,Neutral,Zoom_1.2x,2025-11-13 16:14:37,3392,2544,3,0.0032059571,0.01281676,0.05402452,0.08465454,0.09083573,0.13658537,0.6178258,5.1337036e-05,0.0071676,0.04166736,0.07764431,0.089047045,0.040647227,0.11409581,0.629693,3.766261e-05,0.0043729185,0.044822447,0.09566152,0.07412558,0.032289837,0.23810256,0.51049244,0.00013268828,0.005204393,0.031202372,0.07358393,0.09143775,0.05341288,0.12782145,0.6172884,4.8787566e-05,174.00125735174143,46.62587595818836,1,254,199.0,0.0006001681722439776
Erneste,Neutral,Rotation_-15deg,2025-11-13 16:14:38,3392,2544,3,0.11372834,0.041636538,0.053154226,0.055271097,0.06437363,0.14752096,0.52429086,2.433584e-05,0.118886374,0.06125528,0.0533758,0.055952847,0.034587603,0.13588692,0.54003674,1.8425708e-05,0.12211018,0.06151243,0.06600853,0.054631412,0.01846731,0.23963386,0.43757242,6.385261e-05,0.1165287,0.055439014,0.055129137,0.05917723,0.038817286,0.14868873,0.52619624,2.364053e-05,152.62963551401003,71.19795045005719,0,253,194.0,0.001581250185415925
Erneste,Neutral,Brightness_-20,2025-11-13 16:14:38,3392,2544,3,0.028774466,0.052729044,0.056191687,0.070788674,0.0792492,0.71219766,6.593854e-05,3.3606636e-06,0.050418645,0.0580725,0.052547336,0.0531066,0.030799903,0.75485975,0.0001924849,2.781239e-06,0.054799907,0.06439483,0.065773636,0.026783679,0.12501727,0.66306335,0.00014810097,1.9236903e-05,0.041617416,0.05792231,0.05628335,0.057183545,0.056274775,0.73065543,5.9564867e-05,3.5924336e-06,152.60096998023465,48.21668567496902,0,235,175.0,0.001161746655096713
Erneste,Neutral,Contrast_1.5x,2025-11-13 16:14:38,3392,2544,3,0.0030497443,0.013683927,0.03199317,0.034487247,0.038989842,0.036093876,0.052531578,0.7891706,0.0040981555,0.02647183,0.04339266,0.036346387,0.03498729,0.03811039,0.031197852,0.78539544,0.0045239166,0.03006021,0.04303075,0.04366568,0.05025884,0.026664548,0.013995194,0.78780085,0.003668686,0.021716492,0.040488463,0.03667191,0.03674515,0.041213557,0.033645805,0.7858499,227.89608515133648,56.46757110034255,0,255,255.0,0.004423676315711404
Erneste,Neutral,Gaussian_Blur,2025-11-13 16:14:38,3392,2544,3,0.006848569,0.04213299,0.053550668,0.055712156,0.07854902,0.19617306,0.56701463,1.8889248e-05,0.0112343505,0.06253268,0.05371673,0.055960845,0.035043262,0.18994506,0.5915534,1.3674425e-05,0.015029119,0.062511355,0.066016875,0.054708358,0.01911615,0.31513637,0.46743065,5.1105264e-05,0.009139267,0.056289148,0.055697322,0.059188705,0.039849244,0.20913804,0.5706803,1.7962167e-05,172.55441192558146,48.319170425208476,1,248,195.0,0.0006568359143230094
